ent,sexo,year,pobreza,pobreza_e,pobreza_m,carencias,carencias3,int_pob,int_pobe,int_vulcar,int_caren,ict
Quintana Roo,2,2020,.48665839,.105873,.38078538,.68443799,.24347803,.19317837,.06420701,.060968738,.25414711,14293.87539876459
Quintana Roo,1,2022,.26162872,.037345313,.22428341,.6307264,.2309972,.11136641,.023455186,.13029023,.24165663,24101.09704316687
Quintana Roo,2,2022,.27763158,.045652788,.23197877,.62212813,.22719751,.11711229,.028752221,.1172547,.234367,23374.47681265279
San Luis Potosí,1,2016,.43588993,.067726627,.36816329,.68507469,.20432462,.1635576,.03977732,.07409656,.23765416,12888.10556151566
San Luis Potosí,2,2016,.44653386,.060690451,.3858434,.68837953,.17786729,.15874591,.035460811,.067291476,.22603738,12887.3041975035
San Luis Potosí,1,2018,.42088094,.071635559,.34924537,.6868546,.19128868,.15327886,.042423166,.077122591,.23040144,15486.56096754284
San Luis Potosí,2,2018,.42049935,.063297957,.3572014,.67851156,.16726039,.14655936,.037180889,.070563354,.2171227,15171.03516266731
San Luis Potosí,1,2020,.43114242,.093335308,.33780712,.69272113,.23540872,.17051467,.055332117,.080101982,.25061667,15568.34646282416
San Luis Potosí,2,2020,.42598051,.083929099,.34205139,.66698086,.19832769,.15855841,.049065221,.07047008,.22902849,15407.67829577381
San Luis Potosí,1,2022,.34604174,.074558832,.27148288,.64467835,.25830731,.15382586,.048297383,.10109354,.25491941,20601.00783075938
San Luis Potosí,2,2022,.36355299,.073735431,.28981754,.63531548,.24165057,.15832448,.045927327,.087877743,.24620222,19668.93750235469
Sinaloa,1,2016,.29785934,.026616128,.27124321,.62120652,.16128282,.10807837,.016655317,.09771017,.20578854,16072.34056748436
Sinaloa,2,2016,.31096873,.024598595,.28637013,.60046732,.13144255,.10616636,.015273891,.079576515,.18574287,15949.66970921808
Sinaloa,1,2018,.31145057,.024095837,.28735474,.64001912,.17707819,.11583202,.015578003,.099045135,.21487716,19027.01942442556
Sinaloa,2,2018,.30829144,.019810013,.28848141,.61338031,.13352326,.10638232,.01258721,.082592241,.18897456,19380.71276811841
Sinaloa,1,2020,.28411534,.025613572,.25850177,.62099135,.16545632,.10209593,.015721329,.10591374,.20800968,18438.25117676482
Sinaloa,2,2020,.27748111,.023065874,.25441521,.58232498,.13134807,.093409494,.013774909,.086912394,.18032189,18578.65215178659
Sinaloa,1,2022,.21752219,.018966263,.19855593,.59170258,.17264985,.087797545,.012236722,.1207277,.20852524,24590.80756851548
Sinaloa,2,2022,.2153499,.017268138,.19808176,.55329502,.13199972,.08223094,.010521977,.099803962,.18203491,23941.09374020295
